model,ebn0_db,theory,bits,errors,ber,ci95_low,ci95_high,evm_rms
BPSK,0,0.07864960352514258,60000,4786,0.07976666666666667,0.07762560788168145,0.08196153230820756,0.9995766606867733
DSSS,0,0.07864960352514258,60000,4654,0.07756666666666667,0.07545329443459627,0.07973412744423801,0.9987845116826994
BPSK,2,0.03750612835892598,60000,2168,0.03613333333333334,0.034669524323512856,0.03765653603045683,0.793698004355338
DSSS,2,0.03750612835892598,60000,2228,0.03713333333333333,0.035649729359984644,0.03867620295355538,0.7936425843562943
BPSK,4,0.01250081804073755,60000,734,0.012233333333333334,0.011384460925194637,0.013144659595043824,0.6318254006975442
DSSS,4,0.01250081804073755,60000,713,0.011883333333333333,0.011046994315486919,0.01278217101890192,0.6310631909300191
BPSK,6,0.002388290780932807,60000,125,0.0020833333333333333,0.0017489946804737132,0.0024814254501257533,0.5003207543926311
DSSS,6,0.002388290780932807,60000,150,0.0025,0.002131019872322161,0.002932680241431615,0.5025716099471268
BPSK,8,0.00019090777407599314,60000,11,0.00018333333333333334,0.00010237691938607085,0.00032828648802974157,0.39803119630398637
DSSS,8,0.00019090777407599314,60000,8,0.00013333333333333334,6.756481175715453e-05,0.0002631049976801407,0.39767537975221345
