time_s,data,pn,carrier,spread,tx,recovered
0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.25e-08,0.0,0.0,0.0,0.0,0.0,0.0
1.25e-07,0.0,0.0,0.0,0.0,0.0,0.0
1.875e-07,0.0,0.0,0.0,0.0,0.0,0.0
2.5e-07,0.0,0.0,1.0,0.0,1.0,0.0
3.125e-07,0.0,0.0,1.0,0.0,1.0,0.0
3.75e-07,0.0,0.0,1.0,0.0,1.0,0.0
4.375e-07,0.0,0.0,1.0,0.0,1.0,0.0
5e-07,0.0,1.0,0.0,1.0,1.0,0.0
5.625e-07,0.0,1.0,0.0,1.0,1.0,0.0
6.25e-07,0.0,1.0,0.0,1.0,1.0,0.0
6.875e-07,0.0,1.0,0.0,1.0,1.0,0.0
7.5e-07,0.0,1.0,1.0,1.0,0.0,0.0
8.125e-07,0.0,1.0,1.0,1.0,0.0,0.0
8.75e-07,0.0,1.0,1.0,1.0,0.0,0.0
9.375e-07,0.0,1.0,1.0,1.0,0.0,0.0
1e-06,0.0,0.0,0.0,0.0,0.0,0.0
1.0625e-06,0.0,0.0,0.0,0.0,0.0,0.0
1.125e-06,0.0,0.0,0.0,0.0,0.0,0.0
1.1875e-06,0.0,0.0,0.0,0.0,0.0,0.0
1.25e-06,0.0,0.0,1.0,0.0,1.0,0.0
1.3125e-06,0.0,0.0,1.0,0.0,1.0,0.0
1.375e-06,0.0,0.0,1.0,0.0,1.0,0.0
1.4375e-06,0.0,0.0,1.0,0.0,1.0,0.0
1.5e-06,0.0,1.0,0.0,1.0,1.0,0.0
1.5625e-06,0.0,1.0,0.0,1.0,1.0,0.0
1.625e-06,0.0,1.0,0.0,1.0,1.0,0.0
1.6875e-06,0.0,1.0,0.0,1.0,1.0,0.0
1.75e-06,0.0,1.0,1.0,1.0,0.0,0.0
1.8125e-06,0.0,1.0,1.0,1.0,0.0,0.0
1.875e-06,0.0,1.0,1.0,1.0,0.0,0.0
1.9375e-06,0.0,1.0,1.0,1.0,0.0,0.0
2e-06,0.0,0.0,0.0,0.0,0.0,0.0
2.0625e-06,0.0,0.0,0.0,0.0,0.0,0.0
2.125e-06,0.0,0.0,0.0,0.0,0.0,0.0
2.1875e-06,0.0,0.0,0.0,0.0,0.0,0.0
2.25e-06,0.0,0.0,1.0,0.0,1.0,0.0
2.3125e-06,0.0,0.0,1.0,0.0,1.0,0.0
2.375e-06,0.0,0.0,1.0,0.0,1.0,0.0
2.4375e-06,0.0,0.0,1.0,0.0,1.0,0.0
2.5e-06,0.0,1.0,0.0,1.0,1.0,0.0
2.5625e-06,0.0,1.0,0.0,1.0,1.0,0.0
2.625e-06,0.0,1.0,0.0,1.0,1.0,0.0
2.6875e-06,0.0,1.0,0.0,1.0,1.0,0.0
2.75e-06,0.0,1.0,1.0,1.0,0.0,0.0
2.8125e-06,0.0,1.0,1.0,1.0,0.0,0.0
2.875e-06,0.0,1.0,1.0,1.0,0.0,0.0
2.9375e-06,0.0,1.0,1.0,1.0,0.0,0.0
3e-06,0.0,0.0,0.0,0.0,0.0,0.0
3.0625e-06,0.0,0.0,0.0,0.0,0.0,0.0
3.125e-06,0.0,0.0,0.0,0.0,0.0,0.0
3.1875e-06,0.0,0.0,0.0,0.0,0.0,0.0
3.25e-06,0.0,0.0,1.0,0.0,1.0,0.0
3.3125e-06,0.0,0.0,1.0,0.0,1.0,0.0
3.375e-06,0.0,0.0,1.0,0.0,1.0,0.0
3.4375e-06,0.0,0.0,1.0,0.0,1.0,0.0
3.5e-06,0.0,1.0,0.0,1.0,1.0,0.0
3.5625e-06,0.0,1.0,0.0,1.0,1.0,0.0
3.625e-06,0.0,1.0,0.0,1.0,1.0,0.0
3.6875e-06,0.0,1.0,0.0,1.0,1.0,0.0
