impairment,value,bits,errors,ber,ci95_low,ci95_high,evm_rms
ideal,0,4000,3,0.00075,0.00025509972837185844,0.002202904396395023,0.40242866048341835
phase_degrees,15,4000,0,0.0,0.0,0.0009594432897014338,0.47591461686458253
phase_degrees,45,4000,21,0.00525,0.003436462975609607,0.008012906159549964,0.866721985176592
phase_degrees,80,4000,1096,0.274,0.26040005764103363,0.28803361072591144,1.3475514457004847
cfo_cycles_per_bit,0.001,4000,2008,0.502,0.4865107640980585,0.5174853981287827,1.4703768940364408
cfo_cycles_per_bit,0.01,4000,2003,0.50075,0.4852618570276881,0.5162367038073774,1.4699732592710009
cfo_cycles_per_bit,0.05,4000,2005,0.50125,0.48576140825127184,0.5167361931405038,1.4656561048088563
delay_chips,0.25,4000,21,0.00525,0.003436462975609607,0.008012906159549964,0.4690127453072061
delay_chips,0.5,4000,153,0.03825,0.03273556965279585,0.04465047622524343,0.6451830030552398
delay_chips,1,4000,2048,0.512,0.4965055026287276,0.5274714707323195,1.08618204718177
adc_bits,2,4000,1,0.00025,4.413250195767801e-05,0.0014148310660989049,0.4047426087578616
adc_bits,4,4000,1,0.00025,4.413250195767801e-05,0.0014148310660989049,0.3770368533398295
adc_bits,8,4000,2,0.0005,0.000137128744953472,0.0018213551014582604,0.3757702266720445
phase_noise_cycles_per_sample,1e-07,4000,15,0.00375,0.0022739162707464196,0.006178331194282254,0.5993768814429236
phase_noise_cycles_per_sample,1e-06,4000,119,0.02975,0.024919338341321474,0.03548301807264273,0.6985251073446989
iq_gain_db,1,4000,0,0.0,0.0,0.0009594432897014338,0.4071179273167281
iq_gain_db,3,4000,0,0.0,0.0,0.0009594432897014338,0.5026535946236066
