jammer,model,js_db,ebn0_db,bits,errors,ber,ci95_low,ci95_high,evm_rms
tone_inband,BPSK,-10,8,30000,50,0.0016666666666666668,0.001264527126941987,0.0021964116652861006,0.5032243123256026
tone_inband,DSSS,-10,8,30000,12,0.0004,0.00022883958183724084,0.0006990902253811254,0.4000972393690598
tone_inband,BPSK,0,8,30000,2801,0.09336666666666667,0.09012622925846414,0.09671122842223087,1.0514177658084785
tone_inband,DSSS,0,8,30000,3,0.0001,3.4009593858307926e-05,0.0002939970326998613,0.39685070486386925
tone_inband,BPSK,10,8,30000,11860,0.3953333333333333,0.38981449846227195,0.4008789696185037,3.103201295205672
tone_inband,DSSS,10,8,30000,11,0.00036666666666666667,0.0002047597796075788,0.0006565118964263211,0.4045348339000104
tone_inband,BPSK,20,8,30000,14033,0.46776666666666666,0.4621249941287162,0.4734165930159048,9.745330217111377
tone_inband,DSSS,20,8,30000,27,0.0009,0.0006186348639428511,0.0013091669110425104,0.4632011397625716
tone_outofband,BPSK,-10,8,30000,8,0.0002666666666666667,0.0001351326128506073,0.0005261646696298936,0.3998480463893643
tone_outofband,DSSS,-10,8,30000,5,0.00016666666666666666,7.119207237238473e-05,0.0003901308165547171,0.4002745418612076
tone_outofband,BPSK,0,8,30000,4,0.00013333333333333334,5.1851912478670126e-05,0.00034281284526396544,0.403515399725741
tone_outofband,DSSS,0,8,30000,6,0.0002,9.166491506527424e-05,0.00043631610504629394,0.42399015126474904
tone_outofband,BPSK,10,8,30000,10,0.0003333333333333333,0.0001810759094400313,0.0006135376354094021,0.435116492605526
tone_outofband,DSSS,10,8,30000,142,0.004733333333333333,0.004017531273606018,0.005575955587592975,0.6026713258670399
tone_outofband,BPSK,20,8,30000,298,0.009933333333333334,0.008872204620307978,0.011119950705667766,0.680282250032339
tone_outofband,DSSS,20,8,30000,7134,0.2378,0.2330161934108457,0.24265094669214196,1.4740619832798652
chirp,BPSK,-10,8,30000,25,0.0008333333333333334,0.0005645431461851526,0.0012299423664312763,0.4419500059305547
chirp,DSSS,-10,8,30000,5,0.00016666666666666666,7.119207237238473e-05,0.0003901308165547171,0.39783446124639965
chirp,BPSK,0,8,30000,791,0.026366666666666667,0.024613346606343626,0.028241267393574025,0.7187532022460427
chirp,DSSS,0,8,30000,10,0.0003333333333333333,0.0001810759094400313,0.0006135376354094021,0.4055773858888891
chirp,BPSK,10,8,30000,5962,0.19873333333333335,0.19425647218041509,0.20328733817437805,1.9320543443138591
chirp,DSSS,10,8,30000,27,0.0009,0.0006186348639428511,0.0013091669110425104,0.45999389373809924
chirp,BPSK,20,8,30000,10236,0.3412,0.33585564825973324,0.34658501477746906,6.001059942471198
chirp,DSSS,20,8,30000,1179,0.0393,0.037159575115663604,0.04155839378382699,0.8305234360030067
burst,BPSK,-10,8,30000,6,0.0002,9.166491506527424e-05,0.00043631610504629394,0.3998994178240993
burst,DSSS,-10,8,30000,8,0.0002666666666666667,0.0001351326128506073,0.0005261646696298936,0.39841618084157504
burst,BPSK,0,8,30000,10,0.0003333333333333333,0.0001810759094400313,0.0006135376354094021,0.40753669817539784
burst,DSSS,0,8,30000,10,0.0003333333333333333,0.0001810759094400313,0.0006135376354094021,0.40767081716485176
burst,BPSK,10,8,30000,187,0.006233333333333333,0.0054037527004889875,0.007189350064010988,0.4857950619790106
burst,DSSS,10,8,30000,168,0.0056,0.004816557029676087,0.006510041242319029,0.48555129876946174
burst,BPSK,20,8,30000,1360,0.04533333333333334,0.04303689119294194,0.04774619945093706,0.9704919127502761
burst,DSSS,20,8,30000,1369,0.04563333333333333,0.04332945118321985,0.04805356264131935,0.9703070686677223
