index,state,bit
0,0,0
1,64,1
2,32,0
3,80,1
4,40,0
5,84,1
6,42,0
7,85,1
8,106,1
9,53,0
10,26,0
11,77,1
12,102,1
13,51,0
14,25,0
15,12,0
16,70,1
17,35,0
18,17,0
19,8,0
20,68,1
21,34,0
22,81,1
23,104,1
24,52,0
25,90,1
26,45,0
27,22,0
28,75,1
29,101,1
30,114,1
31,57,0
32,28,0
33,78,1
34,39,0
35,19,0
36,9,0
37,4,0
38,66,1
39,33,0
40,16,0
41,72,1
42,36,0
43,82,1
44,41,0
45,20,0
46,74,1
47,37,0
48,18,0
49,73,1
50,100,1
51,50,0
52,89,1
53,108,1
54,54,0
55,91,1
56,109,1
57,118,1
58,59,0
59,29,0
60,14,0
61,71,1
62,99,1
63,113,1
64,120,1
65,60,0
66,94,1
67,47,0
68,23,0
69,11,0
70,5,0
71,2,0
72,65,1
73,96,1
74,48,0
75,88,1
76,44,0
77,86,1
78,43,0
79,21,0
80,10,0
81,69,1
82,98,1
83,49,0
84,24,0
85,76,1
86,38,0
87,83,1
88,105,1
89,116,1
90,58,0
91,93,1
92,110,1
93,55,0
94,27,0
95,13,0
96,6,0
97,67,1
98,97,1
99,112,1
100,56,0
101,92,1
102,46,0
103,87,1
104,107,1
105,117,1
106,122,1
107,61,0
108,30,0
109,79,1
110,103,1
111,115,1
112,121,1
113,124,1
114,62,0
115,95,1
116,111,1
117,119,1
118,123,1
119,125,1
120,126,1
121,63,0
122,31,0
123,15,0
124,7,0
125,3,0
126,1,0
